"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,900","1,590 ",$969.49,"$5,849.69",$193.39,5.45,$282.77,1.76,$181.82,0.80,$36.83,0.05,$410.38,5.179,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,000","1,578 ",$974.32,"$5,949.95",$194.44,5.47,$285.27,1.77,$183.63,0.81,$37.65,0.05,$413.99,5.200,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,100","1,464 ",$979.02,"$6,050.19",$195.46,5.49,$287.77,1.78,$185.31,0.81,$38.54,0.06,$417.54,5.221,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,200","1,486 ",$983.62,"$6,149.56",$196.51,5.51,$290.24,1.79,$187.03,0.82,$39.43,0.06,$420.94,5.242,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,300","1,456 ",$988.10,"$6,250.14",$197.53,5.52,$292.67,1.80,$188.87,0.82,$40.42,0.06,$424.36,5.262,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,400","1,389 ",$992.47,"$6,349.36",$198.53,5.54,$295.03,1.81,$190.36,0.83,$41.33,0.06,$427.65,5.281,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6,500","1,368 ",$996.74,"$6,450.26",$199.52,5.56,$297.41,1.82,$192.03,0.83,$42.14,0.06,$430.88,5.299,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$7,500","11,174 ","$1,034.35","$6,967.60",$208.03,5.69,$317.45,1.90,$206.83,0.88,$51.09,0.07,$459.48,5.460,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$10,000","16,525 ","$1,100.79","$8,600.37",$223.18,5.93,$354.30,2.03,$231.55,0.95,$68.63,0.09,$509.01,5.717,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$15,000","13,223 ","$1,175.45","$12,012.75",$238.99,6.16,$394.17,2.16,$256.97,1.01,$92.24,0.11,$556.37,5.931,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$20,000","4,834 ","$1,219.28","$17,175.04",$246.28,6.25,$415.30,2.21,$267.92,1.04,$107.80,0.12,$577.21,6.007,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$25,000","2,603 ","$1,249.54","$22,294.42",$250.15,6.30,$430.66,2.23,$274.92,1.05,$120.64,0.12,$589.24,6.042,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$30,000","1,969 ","$1,270.86","$27,298.88",$252.85,6.33,$444.36,2.25,$280.76,1.06,$136.98,0.13,$597.93,6.061,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$35,000","1,226 ","$1,286.02","$32,327.52",$254.67,6.35,$453.79,2.26,$285.20,1.06,$148.58,0.13,$603.60,6.074,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
